,0,1,2,Team Names
0,Date,Match,Time,
1,1st April 2023,GT vs RR,7:30 PM,Chennai Super Kings (CSK)
2,2nd April 2023,DC vs MI,3:30 PM,Mumbai Indians (MI)
3,2nd April 2023,PBKS vs RCB,7:30 PM,Kolkata Knight Riders (KKR)
4,3rd April 2023,CSK vs LSG,7:30 PM,Sunrisers Hyderabad (SRH)
5,4th April 2023,SRH vs KKR,7:30 PM,Royal Challengers Bangalore (RCB)
6,5th April 2023,RCB vs KKR,7:30 PM,Gujarat Titans (GT)
7,6th April 2023,LSG vs CSK,7:30 PM,Rajasthan Royals (RR)
8,7th April 2023,KKR vs PBKS,7:30 PM,Punjab Kings (PBKS)
9,8th April 2023,MI vs RR,3:30 PM,Delhi Capitals (DC)
10,8th April 2023,GT vs DC,7:30 PM,Lucknow Super Giants (LSG)
11,9th April 2023,CSK vs PBKS,7:30 PM,
12,10th April 2023,SRH vs LSG,7:30 PM,
13,11th April 2023,RR vs RCB,7:30 PM,
14,12th April 2023,KKR vs MI,7:30 PM,
15,13th April 2023,LSG vs DC,7:30 PM,
16,14th April 2023,PBKS vs GT,7:30 PM,
17,15th April 2023,CSK vs SRH,3:30 PM,
18,15th April 2023,RCB vs MI,7:30 PM,
19,16th April 2023,KKR vs DC,3:30 PM,
20,16th April 2023,RR vs LSG,7:30 PM,
21,17th April 2023,SRH vs GT,7:30 PM,
22,18th April 2023,CSK vs RCB,7:30 PM,
23,19th April 2023,MI vs PBKS,7:30 PM,
24,20th April 2023,RR vs GT,7:30 PM,
25,21st April 2023,SRH vs KKR,7:30 PM,
26,22nd April 2023,MI vs LSG,3:30 PM,
27,22nd April 2023,DC vs RCB,7:30 PM,
28,23rd April 2023,PBKS vs SRH,3:30 PM,
29,23rd April 2023,GT vs CSK,7:30 PM,
30,24th April 2023,RR vs KKR,7:30 PM,
31,25th April 2023,LSG vs RCB,7:30 PM,
32,26th April 2023,DC vs PBKS,7:30 PM,
33,27th April 2023,MI vs CSK,7:30 PM,
34,28th April 2023,DC vs RR,7:30 PM,
35,29th April 2023,KKR vs GJ,3:30 PM,
36,29th April 2023,RCB vs SRH,7:30 PM,
37,30th April 2023,LSG vs MI,7:30 PM,
38,1st May 2023,PBKS vs CSK,7:30 PM,
39,2nd May 2023,RCB vs RR,7:30 PM,
40,3rd May 2023,GT vs SRH,7:30 PM,
41,4th May 2023,DC vs KKR,7:30 PM,
42,5th May 2023,PBKS vs LSG,7:30 PM,
43,6th May 2023,GT vs RCB,3:30 PM,
44,6th May 2023,RR vs MI,7:30 PM,
45,7th May 2023,DC vs LSG,3:30 PM,
46,7th May 2023,SRH vs CSK,7:30 PM,
47,8th May 2023,KKR vs RR,7:30 PM,
48,9th May 2023,GT vs PBKS,7:30 PM,
49,10th May 2023,RCB vs CSK,7:30 PM,
50,11th May 2023,DC vs SRH,7:30 PM,
51,12th May 2023,GT vs MI,7:30 PM,
52,13th May 2023,PBKS vs RR,3:30 PM,
53,13th May 2023,LSG vs KKR,7:30 PM,
54,14th May 2023,SRH vs RCB,3:30 PM,
55,14th May 2023,CSK vs DC,7:30:PM,
56,15th May 2023,MI vs KKR,7:30 PM,
57,16th May 2023,LSG vs GT,7:30 PM,
58,17th May 2023,RR vs DC,7:30 PM,
59,18th May 2023,CSK vs MI,7:30 PM,
60,19th May 2023,RCB vs PBKS,7:30 PM,
61,20th May 2023,KKR vs SRH,7:30 PM,
62,21st May 2023,CSK vs GT,3:30 PM,
63,21st May 2023,LSG vs RR,7:30 PM,
64,22nd May 2023,PBKS vs DC,7:30 PM,
65,23rd May 2023,MI vs SRH,7:30 PM,
66,24th May 2023,KKR vs LSG,7:30 PM,
67,25th May 2023,RCB vs GT,7:30 PM,
68,26th May 2023,RR vs CSK,7:30 PM,
69,27th May 2023,MI vs DC,7:30 PM,
70,28th May 2023,SRH vs PBKS,7:30 PM,
71,TBA,Qualifier 1,7:30 PM,
72,TBA,Eliminator,7:30 PM,
73,TBA,Qualifier 2,7:30 PM,
74,4th June 2023,Finals,7:30 PM,
